type,value,source
url,http://124.221.120.25:2222/vs666,public
url,http://162.55.47.21:8080/1742688720,public
url,http://45.61.136.228:8080/recaptha,public
url,http://47.97.176.108:8887/?a=l64&h=47.97.176.108&t=ws_&p=8887,public
url,http://64.95.10.95:8080/misteams,public
url,http://64.95.10.95:8080/recaptch,public
url,http://ciscocdn.com:8888/supershell/compile/download/x64,public
url,http://ebhmkoohccl45qesdbvrjqtyro2hmhkmh6vkyfyjjzfllm3ix72aqaid.onion,public
url,http://images.windowstimes.online/?a=l64&h=images.windowstimes.online&t=ws_&p=80,public
url,http://lin.c1oudf1are.com:42323/?a=l64&h=lin.c1oudf1are.com&t=ws_&p=42323,public
url,http://lin.huionepay.me:2086/?a=l64&h=lin.huionepay.me&t=ws_&p=2086,public
url,http://lin.telegrams.icu:2086/?a=l64&h=lin.telegrams.icu&t=ws_&p=2086,public
url,http://topsportracing.com/az10,public
url,http://topsportracing.com/wp-az,public
url,http://vs.gooogleasia.com:8443/?a=l64&h=vs.gooogleasia.com&t=ws_&p=8443,public
url,http://www.bing-server.com:443,public
url,https://airbluefootgear.com/wp-includes/images/xits.php,public
url,https://album-anthony-rn-submission.trycloudflare.com/25423565,public
url,https://apple-online.shop/ChromeSetup.exe,public
url,https://apple-online.shop/MSTeamsSetup.exe,public
url,https://apple-online.shop/MicrosoftEdgeSetup.exe,public
url,https://dc-broader-green-norwegian.trycloudflare.com/12341234,public
url,https://diff-beats-belize-chapter.trycloudflare.com/12341234,public
url,https://ecologilives.com/additional-check.html,public
url,https://egift.activationshub.com/gift-card/view/8lPFUrjq1LGzg7JHwS8hJJRdL,public
url,https://forest-offensive-height-letters.trycloudflare.com/12341234,public
url,https://lcd-add-palace-switching.trycloudflare.com/12341234,public
url,https://metro-offset-imposed-behind.trycloudflare.com/ytjstast,public
url,https://microsoft-msteams.com/additional-check.html,public
url,https://microstteams.com/additional-check.html,public
url,https://phones-pichunter-businesses-drop.trycloudflare.com/12341234,public
url,https://pub-motorola-viking-charger.trycloudflare.com/12341234,public
url,https://santa-reflection-capitol-classifieds.trycloudflare.com/12341234,public
url,https://spa-step-hopkins-islands.trycloudflare.com/erfgtrtt,public
url,https://sso.officefilecenter.com/signin?sso_reload=true#,public
url,hxxp://topsportracing.com/wp-25,public
ip,193.143.1.24,public
ip,194.127.179.157,public
ip,45.134.26.24,public
ip,45.135.232.24,public
ip,45.140.17.24,public
ip,91.212.166.24,public
domain,address-4-72.top,public
domain,adffew.top,public
domain,aiisoi.top,public
domain,airbluefootgear.com,public
domain,api.jquery-release.com,public
domain,api.thaibit.io,public
domain,apib.googlespays.com,public
domain,appexpress.top,public
domain,aramexaene.com,public
domain,at-post.icu,public
domain,attdomhomepage.com,public
domain,auspoust.cc,public
domain,autopistes.asia,public
domain,belpost-by.lol,public
domain,btt.evil.gooogleasia.com,public
domain,btyzywlp.top,public
domain,busine.cfd,public
domain,business-poste.top,public
domain,canadaapoost.com,public
domain,cdn.clublogos.io,public
domain,cdn.jqueryversion.net,public
domain,cdn.leaguehub.net,public
domain,cdn.logoeye.net,public
domain,cdn.soccerlab.io,public
domain,ceska-post-a.blog,public
domain,chamge-a.top,public
domain,chroonopostfrr.click,public
domain,coeetrttgroup.cfd,public
domain,com-billsgowkx.xin,public
domain,cootrut.site,public
domain,cttpacks.click,public
domain,dpd-pack.xyz,public
domain,ecologilives.com,public
domain,egiuw.top,public
domain,eltade.cc,public
domain,en.stockslab.org,public
domain,en.wfinance.org,public
domain,entelclws.top,public
domain,epgovc.top,public
domain,estafetau.shop,public
domain,evriuk.top,public
domain,ewdfb.top,public
domain,fexpres.lol,public
domain,forurbestexper.com,public
domain,fwedsfg.top,public
domain,geopostl.cfd,public
domain,globeefd.top,public
domain,hanypost.top,public
domain,hketoll-etc-hk.top,public
domain,https.sex666vr.com,public
domain,indiapost.top,public
domain,info-trackingcoi.cc,public
domain,inposttrack.click,public
domain,isr-aelpost.sbs,public
domain,ks.evil.gooogleasia.com,public
domain,lietuvospost.help,public
domain,mapxis.ink,public
domain,mcafeecdn.xyz,public
domain,mndot.us-etce.cc,public
domain,mondialrellay.live,public
domain,mtls.sex666vr.com,public
domain,mxups.me,public
domain,myhermes-at.bond,public
domain,myinfoaramapay.com,public
domain,mys-jtexpres.cyou,public
domain,nzposst-co.top,public
domain,phlppovd.top,public
domain,post-isl.sbs,public
domain,post-track.help,public
domain,post-word.top,public
domain,posta-romanam.cc,public
domain,postah.cc,public
domain,posteit.cfd,public
domain,posten.top,public
domain,posti-fifi.top,public
domain,psocygb.xin,public
domain,samsungcdn.com,public
domain,serviciopostalgobec.pics,public
domain,sex666vr.com,public
domain,shant.fun,public
domain,singpposts.top,public
domain,slpostgovls.xyz,public
domain,slvpostgob.ccsv,public
domain,smbc-card.shop,public
domain,smseexpress.cfd,public
domain,spl-express.help,public
domain,start.bootstrapcdn.fun,public
domain,telkomssel.ink,public
domain,tepco-co-jp.online,public
domain,thetollroads-errp.top,public
domain,thetollroadsll.lol,public
domain,tigo-gtmc.top,public
domain,trycloudflare.com,public
domain,update.jquerycloud.io,public
domain,vs.gooogleasia.com,public
domain,wg.gooogleasia.com,public
domain,www-claro.top,public
domain,yhvxm.icu,public
domain,yurticikargoy.cyou,public
domain,za-post-word.top,public
